[[Dan_Borislow|m.03gs92v]]	, who had purchased the former	[[Washington_Freedom|m.01kmlf]]	owns
[[Mervyn_S._Bennion|m.08xm2m]]	, who earned the	[[Medal_of_Honor|m.015cl6]]	hasWonPrize
[[Tex_Avery|m.0jnb0]]	, who directed	[[A_Wild_Hare|m.05jyrf]]	directed
[[People_Power_Revolution|m.01q71m]]	arose in the	[[Philippines|m.05v8c]]	happenedIn
[[Aniceto_Arce|m.08nbh8]]	, who believed	[[Bolivia|m.0165v]]	isPoliticianOf
[[William_Sidney,_1st_Viscount_De_L'Isle|m.01znzm]]	, who had been awarded the	[[Victoria_Cross|m.0ky7v]]	hasWonPrize
[[Otto_Schott|m.0bphds]]	, who established the famous glassworks at	[[Jena|m.018_7x]]	diedIn
[[Mary_of_Modena|m.018p8q]]	, who bore	[[James_Francis_Edward_Stuart|m.0gs2_]]	hasChild
[[Diana_King|m.03vj04]]	, who added a reggae tinge to	[[Treat_Her_Like_a_Lady_(Celine_Dion_song)|m.026w_s5]]	created
[[Donald_E._Westlake|m.04l6d1]]	, who adapted	[[The_Grifters_(film)|m.03b1sb]]	created
[[Bryan_Caplan|m.01fl84]]	also proposed the concept of an	[[Ideological_Turing_Test|m.0qfvbq9]]	isKnownFor
[[Stefan_Zweig|m.0pjsf]]	, who grew up in	[[Vienna|m.0fhp9]]	wasBornIn
[[Adriaan_van_den_Spiegel|m.02801k0]]	also studied under	[[Hieronymus_Fabricius|m.01hzzd]]	hasAcademicAdvisor
[[Guy_III_of_Spoleto|m.06stjj]]	, who also opposed	[[Arnulf_of_Carinthia|m.0_1w]]	hasChild
[[Michael_Kamen|m.01ycfv]]	, who just completed work on	[[Highlander_(film)|m.0c2jgd]]	wroteMusicFor
[[Albert_Bandura|m.01jfqj]]	accepted a teaching position at	[[Stanford_University|m.06pwq]]	worksAt
[[R._M._Hare|m.01kblf]]	called universal	[[Universal_prescriptivism|m.03w2km]]	isKnownFor
[[Sun_Jian|m.01nl37]]	, who was killed during the	[[Battle_of_Xiangyang_(191)|m.02wx7t_]]	participatedIn
[[Robert_Kraft|m.050kkl]]	, who also owns the	[[New_England_Patriots|m.05g3b]]	owns
[[Mark_Robins|m.05xm21]]	, who had been signed from	[[Manchester_United_F.C.|m.050fh]]	playsFor
[[William_P._Hobby_Airport|m.01kyd9]]	tied with	[[Dallas_Love_Field|m.01n5lr]]	isConnectedTo
[[Chien-Shiung_Wu|m.01ldt9]]	accepted a job from	[[Princeton_University|m.05zl0]]	worksAt
[[Germany|m.0345h]]	, who was murdered in a	[[German_language|m.04306rv]]	hasOfficialLanguage
[[Paul_Allen|m.05tkm]]	, who also owns the	[[Seattle_Seahawks|m.070xg]]	owns
[[Beauvais|m.01n3pv]]	, who became peers of	[[France|m.0f8l9c]]	isLocatedIn
[[Brisbane_Airport|m.01_6q2]]	The following table lists passenger statistics for	[[Melbourne_Airport|m.01nflw]]	isConnectedTo
[[Jack_Benny|m.0l5yl]]	, who had been impressed by	[[Jack_Paar|m.01nv8t]]	influences
[[Crimean_War|m.0cmc2]]	became the main goal of	[[Russian_Empire|m.0cdbq]]	happenedIn
[[Alexander_Pope|m.0cyh6]]	, who had a great influence on	[[George_Crabbe|m.05wrgkp]]	influences
[[James_McKeen_Cattell|m.01p5d_]]	also brought the methods of	[[Wilhelm_Wundt|m.0871j]]	hasAcademicAdvisor
[[William_James|m.0mj0c]]	, who credited	[[Charles_Sanders_Peirce|m.01ty4]]	influences
[[Camilo_Cienfuegos|m.01pwxn]]	, who had been appointed head of	[[Cuba|m.0d04z6]]	isCitizenOf
[[Gulston_Addison|m.043m1zl]]	, who became Governor of	[[Chennai|m.0c8tk]]	isPoliticianOf
[[Johann_Gottfried_Herder|m.01qzgm]]	also turned away from the	[[Sturm_und_Drang|m.0d5_sg]]	isInterestedIn
[[Anthony_Gardner|m.081p2q]]	, who plays for	[[Sheffield_Wednesday_F.C.|m.0182r9]]	playsFor
[[Perth_Airport|m.01r9nk]]	resides within the	[[Melbourne_Airport|m.01nflw]]	isConnectedTo
[[Turkey|m.01znc_]]	, who were suspicious of	[[Bulgaria|m.015qh]]	hasNeighbor
[[Northwest_Territories|m.059ts]]	also abolished	[[French_language|m.064_8sq]]	hasOfficialLanguage
[[Roman_Republic_(19th_century)|m.0210cb]]	adopted an	[[Italian_language|m.02bjrlw]]	hasOfficialLanguage
[[James_Sevier_Conway|m.01skdr]]	, who became the first governor of	[[Arkansas|m.0vbk]]	isPoliticianOf
[[Sterling_Price|m.03679w]]	, who commanded the	[[Missouri_State_Guard|m.06_nyt]]	isLeaderOf
[[Arthur_Wesley_Dow|m.08ktk4]]	, who greatly influenced	[[Georgia_O'Keeffe|m.01t807]]	influences
[[Ingmar_Bergman|m.03s9b]]	, who famously made a	[[The_Magic_Flute_(1975_film)|m.0902yp]]	directed
[[Abraham_Pais|m.01ty5l]]	accepted a position at the	[[Institute_for_Advanced_Study|m.0194_r]]	worksAt
[[Baz_Luhrmann|m.013tcv]]	, who directed	[[Moulin_Rouge!|m.011yxg]]	directed
[[Samuel_Adams_(governor)|m.01sk6m]]	, who became Governor of	[[Arkansas|m.0vbk]]	isPoliticianOf
[[Jerry_Jones|m.016b9c]]	, who also owns the	[[Dallas_Cowboys|m.02896]]	owns
[[Asahikawa|m.01wf54]]	, what is now the second largest city in	[[Hokkaido|m.0fxrk]]	isLocatedIn
[[Kenji_Ito|m.01nbjjw]]	, who also composed many soundtracks for the	[[Mana_(series)|m.01mpnb]]	created
[[Elie_Martel|m.04386p]]	, who was a long time NDP member of the	[[Ontario|m.05kr_]]	livesIn
[[Amy_Jo_Johnson|m.01py3ff]]	, who grew up in	[[Dennis,_Massachusetts|m.01xxy_]]	wasBornIn
[[Park_Chung-hee|m.027r7x]]	, who became president of	[[South_Korea|m.06qd3]]	isPoliticianOf
[[Colm_Meaney|m.018dnt]]	, who acted in	[[The_Commitments_(film)|m.0ddj0x]]	actedIn
[[Patricia_Churchland|m.026zkz]]	argue that	[[Eliminative_materialism|m.01z89_]]	isKnownFor
[[Liu_Bei|m.01mdjh]]	, who had	[[Liu_Bei's_takeover_of_Yi_Province|m.02www8_]]	participatedIn
[[Emilie_Turunen|m.080780f]]	, who became a member of the	[[Social_Democrats_(Denmark)|m.024310]]	isAffiliatedTo
[[Malaysia|m.09pmkv]]	allows the	[[Malaysian_ringgit|m.01_c9q]]	hasCurrency
[[Christopher_Reeve|m.0jrny]]	, who co-starred in	[[Deathtrap_(film)|m.042gcq]]	actedIn
[[Peter_Barlow_(mathematician)|m.014m8z]]	, who taught at the	[[Royal_Military_Academy,_Woolwich|m.01zzk4]]	worksAt
[[Lee_Van_Cleef|m.04r0b]]	, who appeared in	[[Escape_from_New_York|m.02p5d]]	actedIn
[[Pori_Airport|m.0282x0v]]	has daily connections to	[[Helsinki_Airport|m.011s4g]]	isConnectedTo
[[Karl_Marx|m.048cl]]	, whose notion of	[[Marx's_theory_of_alienation|m.0180cq]]	isKnownFor
[[Empress_Xiaogongren|m.0883dq]]	, who also bore the	[[Yongzheng_Emperor|m.01ndc6]]	hasChild
[[Empress_Xiaogongren|m.0883dq]]	, who also bore the	[[Yongzheng_Emperor|m.01ndc6]]	hasChild
[[Fortis_(finance)|m.04s31b]]	, who acquired the	[[Netherlands|m.059j2]]	isLocatedIn
[[Daniel_Kleitman|m.0ddb9b]]	, who was also a doctoral student of	[[Julian_Schwinger|m.01nslb]]	hasAcademicAdvisor
[[Sharad_Pawar|m.0246lq]]	, who was employed in the	[[Baramati|m.06qt64]]	livesIn
[[Festus_Mogae|m.022vdk]]	, who became the third President of	[[Botswana|m.0166v]]	isPoliticianOf
[[Chris_Waddle|m.0135nb]]	, who had been sold to	[[Tottenham_Hotspur_F.C.|m.0hvjr]]	playsFor
[[Thomas_Henry_Huxley|m.07d6q]]	, who according to	[[Henry_Fairfield_Osborn|m.028j40]]	influences
[[Anne_of_Gloucester|m.05zj1p]]	, who became married to	[[Edmund_Stafford,_5th_Earl_of_Stafford|m.026wygl]]	isMarriedTo
[[Lady_Abahai|m.06cchn]]	, who also bore	[[Dodo_(prince)|m.0261x9]]	hasChild
[[Beth_Kerttula|m.03wbh42]]	, who represented portions of	[[Juneau,_Alaska|m.0l_q9]]	livesIn
[[Modern_Times_Group|m.02h11_]]	, who also owned	[[TV3_(Sweden)|m.0dr4tz]]	owns
[[GM_Buses|m.02wb6kb]]	, what is now First	[[Manchester|m.052bw]]	isLocatedIn
[[Helen_Southworth|m.029ywy]]	, who graduated from	[[Lancaster_University|m.01tzfz]]	graduatedFrom
[[Sun_Ce|m.01kggp]]	, who had recently	[[Sun_Ce's_conquests_in_Jiangdong|m.03d6jnm]]	participatedIn
[[Bill_Kopp|m.026kx9w]]	, who also created	[[Toonsylvania|m.08_wl6]]	created
[[Nitobe_Inazo|m.051hc0]]	, who died in	[[Victoria,_British_Columbia|m.07ypt]]	diedIn
[[Robert_Thurman|m.02d_x3]]	accepted a position at	[[Columbia_University|m.01w5m]]	worksAt
[[Pskov_Airport|m.026z4hv]]	serves regular flights to	[[Domodedovo_International_Airport|m.01qkz_]]	isConnectedTo
[[Abdou_Diouf|m.02f5ms]]	, who became president of	[[Senegal|m.06srk]]	isPoliticianOf
[[David_Maynard|m.01n073]]	, who would help found	[[Electronic_Arts|m.01n073]]	worksAt
[[John_D._Bulkeley|m.03vzcv]]	, who also received the	[[Medal_of_Honor|m.015cl6]]	hasWonPrize
[[Hal_Moore|m.012qsp]]	, who earned a	[[Distinguished_Service_Cross_(United_States)|m.02fwk3]]	hasWonPrize
[[Ecuador|m.02k1b]]	, whose capital	[[Quito|m.01dtq1]]	hasCapital
[[Oki_Airport|m.03nrwt9]]	connects the island with	[[Osaka_International_Airport|m.01mylj]]	isConnectedTo
[[Iki_Airport|m.03cjgrz]]	connects the island to	[[Nagasaki_Airport|m.043wwv]]	isConnectedTo
[[Cyrene,_Libya|m.0lrkg]]	, who became the ruling dynasty of	[[Cyrenaica|m.0k0fh]]	isLocatedIn
[[Frank_Fitzgerald|m.0751qp]]	, who became the only governor of	[[Michigan|m.04rrx]]	isPoliticianOf
[[Noah_Wyle|m.01t6xz]]	, who also had a role in	[[Donnie_Darko|m.0fvr1]]	actedIn
[[Gerhard_Weinberg|m.0crndf]]	believes no other ambassador to	[[Nazi_Germany|m.059z0]]	isInterestedIn
[[Larry_Pratt|m.026thc3]]	, who also hosts	[[Gun_Owners_of_America|m.02kwnh]]	isLeaderOf
[[Woodrow_Wilson|m.083q7]]	, who believed the	[[United_States|m.09c7w0]]	isPoliticianOf
[[Edward_Chaytor|m.03gt0vb]]	, who commanded the	[[ANZAC_Mounted_Division|m.027dv6]]	isLeaderOf
[[Walter_Murch|m.02lp3c]]	did sound design work on	[[Apocalypse_Now|m.0jzw]]	edited
[[Gloria_Stuart|m.02lxj_]]	, who does so well in	[[The_Old_Dark_House|m.07sy1f]]	actedIn
[[Barack_Obama|m.02mjmr]]	addressed the first high-profile	[[Chicago|m.01_d4]]	livesIn
[[Hobey_Baker|m.01fps9]]	, who played collegiately at	[[Princeton_University|m.05zl0]]	graduatedFrom
[[Howard_Keel|m.01mq34p]]	, who had appeared in the	[[Show_Boat_(1951_film)|m.04112y1]]	actedIn
[[Armed_Islamic_Group_of_Algeria|m.01rt3g]]	, who were broadening the	[[Algerian_Civil_War|m.0583rl]]	participatedIn
[[Freddie_Francis|m.0627sn]]	, who directed the original	[[Tales_from_the_Crypt_(film)|m.0439fn]]	directed
[[Owen_Moore|m.02z8y4]]	, who accompanied	[[Mary_Pickford|m.04rfq]]	isMarriedTo
[[Harold_Ramis|m.01pjr7]]	, who co-wrote the original	[[Caddyshack|m.01fxw4]]	directed
